	(=)	c	k	m	n	j	e	o	x	i	p	u
7G8	3496	1	1326	0	2	36	1	16	2	0	3	9
7G8-2019	3409	0	1350	4	2	71	3	46	3	0	2	12
CD01	3353	2	1299	1	2	45	5	12	2	0	1	12
Dd2	3531	1	1318	1	2	38	4	9	3	0	2	11
GA01	3440	3	1301	1	2	39	3	14	39	0	3	13
GB4	3542	2	1331	2	2	41	1	11	3	0	0	9
GN01	3462	2	1314	1	1	51	0	8	3	0	1	9
HB3	3476	2	1314	3	1	34	2	9	3	0	1	12
IT	3563	2	1329	4	1	39	0	3	0	0	1	9
KE01	3548	2	1327	3	2	34	2	7	2	0	3	12
KH01	3432	1	1303	3	2	41	3	10	3	0	1	11
KH02	3528	1	1325	2	3	39	0	6	2	0	1	11
ML01	2981	2	1193	3	3	40	5	19	2	0	1	12
NF54	3666	2	1339	2	5	42	4	36	7	0	5	23
NF135.C10	3298	8	1298	14	16	82	2	87	58	0	1	35
NF166	3420	0	1337	4	4	69	3	51	5	0	1	21
SD01	3382	2	1298	1	4	41	2	6	2	0	1	11
SN01	3604	2	1342	2	2	45	3	10	45	0	2	12
TG01	3487	2	1319	1	3	49	3	18	49	0	0	8